UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
021497880432	y	FORIS ROUGE VALLEY MOSCATO 2016	FORIS ROUGE VALLEY MOSCATO 2016	FORIS VINEYARDS WINERY	750 ML	12.75	104800	PINNACLE IMPORTS	CS	12
022588418831	y	SWANSON ALEXIS CAB SAUV 12	SWANSON ALEXIS CABERNET SAUVIGNON 2012 6PK	VINTAGE WINE ESTATES	750 ML	57	10375010	PINNACLE IMPORTS	CS	6
29882445365	y	BOUCHARD BEAUN GREVES LENFANT 14	BOUCHARD BEAUNE GREVES LENFANT JESUS 2014	HENRIOT INC.	750 ML	98.5	117143	PINNACLE IMPORTS	CS	12
030961003857	y	ST ANNE BX ROUGE 14	JGS-DOM ST ANNE BX ROUGE 14	JOHNNY GREEN SEEDS	750 ML	15	126070	PINNACLE IMPORTS	CS	12
030961003901	y	ST ANNE BX BLANC 15	JGS-DOM ST ANNE BX BLANC 15	JOHNNY GREEN SEEDS	750 ML	13.5	126060	PINNACLE IMPORTS	CS	12
030961006704	y	LA MAROUETTE SAUV BLANC 15	JGS-LA MAROUETTE SAUV BLANC 15	JOHNNY GREEN SEEDS	750 ML	10.5	126093	PINNACLE IMPORTS	CS	12
030961006711	y	LA MAROUETTE CHARD 15	JGS-LA MAROUETTE CHARD 15	JOHNNY GREEN SEEDS	750 ML	10.5	126091	PINNACLE IMPORTS	CS	12
030961006735	y	LA MAROUETTE MERLOT 15	JGS-LA MAROUETTE MERLOT 15	JOHNNY GREEN SEEDS	750 ML	10.5	126092	PINNACLE IMPORTS	CS	12
033228854018	y	CLOS PEGASE NAPA CAB 2014	CLOS PEGASE NAPA CAB 2014	VINTAGE WINE ESTATES	750 ML	37.5	123930	PINNACLE IMPORTS	CS	12
033228855114	y	CLOS PEGASE NAPA MERLOT 2015	CLOS PEGASE NAPA MERLOT 2015	VINTAGE WINE ESTATES	750 ML	22.5	123950	PINNACLE IMPORTS	CS	12
33228858115	y	MATTES SABRAN CORBIERES VIALA 11	MATTES SABRAN CORBIERES LA VIALA 2011	NORTH BERKELEY IMPORTS	750 ML	12.75	11180011	PINNACLE IMPORTS	CS	12
033228858115	y	CLOS PEGASE PN NOIR 2014	CLOS PEGASE PINOT NOIR 2014	VINTAGE WINE ESTATES	750 ML	28.5	123961	PINNACLE IMPORTS	CS	12
033228861115	y	CLOS PEGASE NAPA CHARD 2015	CLOS PEGASE NAPA CHARD 2015	VINTAGE WINE ESTATES	750 ML	21.75	123940	PINNACLE IMPORTS	CS	12
033228863119	y	CLOS PEGASE NAPA SAUV BLANC 2016	CLOS PEGASE NAPA SAUV BLANC 2016	VINTAGE WINE ESTATES	750 ML	18	123960	PINNACLE IMPORTS	CS	12
35526502363	y	OLGA RAFFAULT CHINON PICASSES 11	DOM OLGA RAFFAULT CHINON PICASSES 2011	LOUIS-DRESSNER	750 ML	21.75	126220	PINNACLE IMPORTS	CS	12
35526502479	y	LES GRYPHEES MOULIN-A-VENT 2015	DOM LES GRYPHEES MOULIN-A-VENT 2015	NORTH BERKELEY IMPORTS	750 ML	18.75	126710	PINNACLE IMPORTS	CS	12
035526524433	y	JUST CAB SAUV VDP 2011	JUST CABERNET SAUVIGNON VDP 2011	PAUL SAPIN USA	750 ML	9	111670	PINNACLE IMPORTS	CS	12
35526524938	y	LES APHILLANTHES CDR ROSE 2016	DOM LES APHILLANTHES CDR ROSE 2016	WEYGANDT-METZLER IMPORTING	750 ML	10	111291	PINNACLE IMPORTS	CS	12
35526525935	y	LNEAU PAPIN MUSCADT PRRE GRNG 15	DOM LUNEAU-PAPIN MUSCADET PIERRE DE LA GRANGE VV 2015	LOUIS-DRESSNER	750 ML	13.5	112150	PINNACLE IMPORTS	CS	12
35526570010	y	MADONE BEAUJOLAIS VILLAGES 15	DOM MADONE BEAUJOLAIS-VILLAGES VV 2015	NORTH BERKELEY IMPORTS	750 ML	15	126700	PINNACLE IMPORTS	CS	12
035526570010	y	JUST SHIRAZ VDP 2009	JUST SHIRAZ VDP 2009	PAUL SAPIN USA	750 ML	9	111740	PINNACLE IMPORTS	CS	12
037398019208	y	SCHNEIDER GIFT SET	SCHNEIDER GIFT SET 4/16.9OZ AND 1/11.2OZ X 5 / 20/16.9OZ	B. UNITED	16.9 OZ		303080	PINNACLE IMPORTS	CS	20
037398027172	y	SAMP SCHNEIDER BROOKLYNER HOPFEN	SAMPLE SCHNEIDER BROOKLYNER HOPFENWEISSE 20/16.9OZ	B. UNITED	16.9 OZ		307140	PINNACLE IMPORTS	EA	1
037398027172	y	SCHNEIDER BROOKLYNER HOPFENWEISS	SCHNEIDER BROOKLYNER HOPFENWEISSE 20/16.9OZ	B. UNITED	16.9 OZ		303070	PINNACLE IMPORTS	CS	20
037398029245	y	AVENTINUS EISBOCK11.2* 	AVENTINUS EISBOCK 24PK/11.2* /	B. UNITED	11.2 OZ		301730	PINNACLE IMPORTS	CS	24
040232233173	y	WILLAMETTE VALLEY PINOT GRIS 15	OMERO WILLAMETTE VALLEY PINOT GRIS 2015	CRAFT WINE CO. (OMERO CELLARS)	750 ML	17.25	116440	PINNACLE IMPORTS	CS	12
040232233180	y	RIBBON RIDGE PN NOIR 14	OMERO RIBBON RIDGE PINOT NOIR 2014	CRAFT WINE CO. (OMERO CELLARS)	750 ML	24.75	10492014	PINNACLE IMPORTS	CS	12
